name,lon_min,lat_min,lon_max,lat_max
San Miguel de Tucuman,-65.317154,-26.892985,-65.107040,-26.701146
Mar del Plata,-57.654190,-38.117542,-57.511024,-37.916576
Buenos Aires,-58.572578,-34.705493,-58.326759,-34.523530
Cordoba,-64.297485,-31.487236,-64.083252,-31.313168
Rosario,-60.828896,-33.041191,-60.596123,-32.831135
Salta,-65.502548,-24.897025,-65.368996,-24.673226
Bahia Blanca,-62.408524,-38.814566,-62.131119,-38.623845
Mendoza,-68.952255,-33.071980,-68.736649,-32.761294
Santa Fe,-60.856705,-31.730795,-60.489349,-31.532311
Comodoro Rivadavia,-67.631836,-45.964515,-67.412109,-45.768960
San Juan,-68.645325,-31.614504,-68.420792,-31.465861
Neuquen,-68.301315,-39.002110,-67.896194,-38.903858
