name,lon_min,lat_min,lon_max,lat_max
belem,-48.515282,-1.482989,-48.296928,-1.222480
belo horizonte,-44.077148,-19.992063,-43.829269,-19.824850
manaus,-60.079422,-3.161427,-59.871712,-2.953327
recife,-34.974976,-8.189063,-34.817047,-7.863382
goiania,-49.522934,-16.862377,-49.023743,-16.528265
rioA,-43.606796,-23.072783,-43.41985675,-22.602601
rioB,-43.41985675,-23.072783,-43.2329175,-22.602601
rioC,-43.2329175,-23.072783,-43.04597825,-22.602601
rioD,-43.04597825,-23.072783,-42.859039,-22.602601
porto alegre,-51.317139,-30.210421,-50.877686,-29.611670
brasilia,-48.247833,-15.999615,-47.655945,-15.604520
fortaleza,-38.616943,-3.859459,-38.392410,-3.677892
salvador,-38.566132,-13.024628,-38.051147,-12.525072
curitiba,-49.402084,-25.587659,-49.066315,-25.292509
florianopolis,-48.753204,-27.907058,-48.320618,-27.311994
santos,-46.424103,-23.992840,-46.287975,-23.912047
garuja,-46.315098,-24.025456,-46.167984,-23.928837
praia grande,-46.541862,-24.048345,-46.394234,-23.987194
cubatao,-46.450367,-23.906241,-46.408052,-23.868257
Judiai,-46.990929,-23.251125,-46.767082,-23.116049
sao paolo A,-46.768799,-23.782831,-46.391144,-23.703249
sao paolo B,-46.768799,-23.703249,-46.391144,-23.62366
sao paolo C,-46.768799,-23.62366,-46.391144,-23.544087
sao paolo D,-46.768799,-23.544087,-46.391144,-23.464506
