name,lon_min,lat_min,lon_max,lat_max
fortaleza,-38.616943,-3.859459,-38.392410,-3.677892
salvador,-38.566132,-13.024628,-38.051147,-12.525072
curitiba,-49.402084,-25.587659,-49.066315,-25.292509
florianopolis,-48.753204,-27.907058,-48.320618,-27.311994
santos,-46.424103,-23.992840,-46.287975,-23.912047
garuja,-46.315098,-24.025456,-46.167984,-23.928837
praia grande,-46.541862,-24.048345,-46.394234,-23.987194
cubatao,-46.450367,-23.906241,-46.408052,-23.868257
Judiai,-46.990929,-23.251125,-46.767082,-23.116049
sao paoloA,-46.768799,-23.782831,-46.391144,-23.703249
sao paoloB,-46.768799,-23.703249,-46.391144,-23.62366
sao paoloC,-46.768799,-23.62366,-46.391144,-23.544087
sao paoloD,-46.768799,-23.544087,-46.391144,-23.464506
